Time of Day,Temperature,Humidity,CO2_InfraredSensor,CO2_ElectroChemicalSensor,MetalOxideSensor_Unit1,MetalOxideSensor_Unit2,MetalOxideSensor_Unit3,MetalOxideSensor_Unit4,CO_GasSensor,Activity Level,metal_oxide_mean,metal_oxide_std,CO2_mean,CO2_diff
3,24.11,49.15,133.51,564.29,407.51,676.11,588.58,541.95,2,Low Activity,553.5374999999999,112.11645058450016,348.9,-430.78
2,20.66,49.07,74.41,620.22,399.02,860.93,692.556,624.88,1,High Activity,644.3465,191.30830665621048,347.315,-545.8100000000001
2,20.19,50.41,78.1,615.04,381.21,754.65,711.11,629.96,1,Moderate Activity,619.2325,166.8823578402862,346.57,-536.9399999999999
2,20.43,50.1,83.18,619.46,386.88,757.15,839.1,631.02,1,High Activity,653.5375,197.30032241484045,351.32000000000005,-536.28
2,20.62,49.78,80.43,578.93,411.58,756.03,701.61,617.47,1,High Activity,621.6724999999999,151.21558702175292,329.67999999999995,-498.49999999999994
0,21.08,45.38,109.49,582.88,459.28,721.68,678.77,610.88,2,Moderate Activity,617.6525,115.01418039383955,346.185,-473.39
2,20.17,51.22,93.45,605.92,359.63,746.03,651.91,616.68,1,Low Activity,593.5624999999999,165.23680247350063,349.685,-512.4699999999999
2,20.81,49.83,88.83,616.14,396.34,751.23,706.258,622.31,1,Moderate Activity,619.0345,157.7837744119042,352.485,-527.31
2,20.19,51.5,89.47,620.36,405.07,747.38,698.48,621.0,1,Low Activity,617.9825000000001,151.1780390521939,354.915,-530.89
2,20.11,51.83,91.14,622.06,400.63,747.91,705.75,627.27,1,Low Activity,620.39,154.80037898317087,356.59999999999997,-530.92
2,18.02,53.55,109.65,594.26,469.7,613.95,695.5,627.47,1,Low Activity,601.655,94.93258537860785,351.955,-484.61
1,18.91,51.67,105.63,596.53,486.45,747.04,712.4,628.5,1,High Activity,643.5975,115.98477784462351,351.08,-490.9
2,22.07,51.19,114.27,571.45,387.86,695.23,627.01,569.68,2,Low Activity,569.945,131.79246678016162,342.86,-457.18000000000006
2,19.66,53.02,88.56,618.0,393.85,600.62,691.95,615.95,1,Moderate Activity,575.5925,127.57286502884017,353.28,-529.44
1,17.12,51.58,100.58,596.45,511.01,729.41,700.238,643.66,1,High Activity,646.0795,96.82757727527836,348.51500000000004,-495.87000000000006
1,19.47,53.49,101.71,578.93,459.39,716.73,670.01,596.34,1,Moderate Activity,610.6175,112.34016122918821,340.32,-477.21999999999997
1,19.26,54.59,118.8,573.59,491.29,744.23,698.292,632.57,1,Moderate Activity,641.5955,110.18399261084464,346.195,-454.79
2,19.25,54.18,85.51,614.89,397.63,742.96,704.25,630.19,1,High Activity,618.7575,154.66447757969507,350.2,-529.38
2,19.36,54.05,86.92,578.93,416.65,760.61,693.92,623.69,1,Low Activity,623.7175,148.93499462852913,332.92499999999995,-492.00999999999993
2,20.21,52.43,92.17,611.77,470.91,745.08,696.6899999999999,625.57,1,Low Activity,634.5625,119.6340947430957,351.96999999999997,-519.6
2,20.88,51.1,87.69,613.55,466.68,739.93,691.75,631.09,1,Low Activity,632.3625,119.09373377722271,350.62,-525.8599999999999
2,21.23,50.64,93.09,613.1,469.69,742.03,695.07,620.48,1,Low Activity,631.8175,119.10994791228256,353.095,-520.01
2,21.58,50.26,85.43,617.12,470.03,747.22,695.23,603.93,1,Low Activity,629.1025,121.46646323848682,351.275,-531.69
2,21.09,52.71,96.59,610.21,487.57,742.8,699.0,604.73,1,Moderate Activity,633.525,113.07816662232663,353.40000000000003,-513.62
2,21.75,51.55,95.36,610.41,477.09,746.5,689.88,610.47,1,Moderate Activity,630.9849999999999,116.78594735669186,352.885,-515.05
3,20.0,52.64,100.35,581.9,462.31,725.21,690.52,625.46,1,Moderate Activity,625.875,116.61918038356013,341.125,-481.54999999999995
2,21.93,52.26,100.19,606.86,481.42,731.94,688.96,612.21,1,Moderate Activity,628.6325,109.92886408188406,353.525,-506.67
3,22.19,51.8,98.82,606.84,473.88,739.22,681.8,606.06,1,High Activity,625.24,114.69989247306788,352.83000000000004,-508.02000000000004
3,22.21,51.93,96.84,578.93,473.49,737.88,684.76,608.71,1,High Activity,626.21,114.78667140976486,337.885,-482.0899999999999
1,19.08,56.27,140.15,573.86,468.62,725.1,679.71,610.22,1,High Activity,620.9125,111.98142148737591,357.005,-433.71000000000004
3,22.38,51.84,104.24,609.73,473.94,735.36,676.31,608.42,1,Low Activity,623.5074999999999,112.39388398989215,356.985,-505.49
1,19.81,58.73,121.89,550.02,497.95,693.24,600.78,541.39,2,Low Activity,583.34,84.5249828946054,335.955,-428.13
3,23.51,46.03,119.0,585.47,455.48,714.01,676.52,606.77,1,Moderate Activity,613.1949999999999,114.14759699616982,352.235,-466.47
0,20.59,53.87,110.89,593.05,466.82,727.44,685.06,611.01,1,High Activity,622.5825,114.44709472794261,351.96999999999997,-482.15999999999997
3,23.08,50.95,103.6,605.8,475.06,738.05,682.3,603.76,1,High Activity,624.7925,114.01251608924345,354.7,-502.19999999999993
3,23.45,50.25,102.54,605.63,460.07,740.23,683.41,607.01,1,Moderate Activity,622.6800000000001,121.37228733666237,354.085,-503.09
3,23.7,49.71,108.18,612.99,454.82,729.42,690.5,615.6,1,Moderate Activity,622.585,121.40847018776462,360.58500000000004,-504.81
3,23.43,50.45,111.57,605.57,459.66,732.96,805.06,603.82,1,High Activity,650.375,151.97292598793155,358.57000000000005,-494.00000000000006
0,20.79,47.32,111.79,577.63,444.18,723.05,696.63,611.21,2,Low Activity,618.7675,125.7978797847298,344.71,-465.84
3,24.05,49.5,108.9,602.12,455.49,741.33,690.09,605.16,2,High Activity,623.0175,125.00789505067272,355.51,-493.22
0,20.9,55.48,142.19,565.33,358.23,677.95,650.74,541.6,2,Low Activity,557.13,145.1007642984695,353.76,-423.14000000000004
3,24.25,49.11,101.92,598.1,472.43,730.7,676.354,596.88,2,Moderate Activity,619.091,112.15821784722988,350.01,-496.18
0,19.87,52.56,112.71,557.02,481.91,716.87,678.51,589.65,1,Low Activity,616.735,104.49010591119779,334.865,-444.31
3,21.96,47.16,106.53,596.73,433.78,736.72,660.0060000000001,617.67,2,Moderate Activity,612.044,128.65219779441523,351.63,-490.20000000000005
3,24.22,48.49,107.13,601.51,458.84,730.14,687.18,620.35,2,Moderate Activity,624.1274999999999,119.09169446970962,354.32,-494.38
3,24.5,47.59,103.87,602.01,477.57,728.99,678.9,614.44,1,Moderate Activity,624.975,108.88257604716499,352.94,-498.14
1,17.9,44.69,64.59,628.18,589.8,790.02,765.73,707.14,0,Moderate Activity,713.1725,89.30284406631928,346.385,-563.5899999999999
1,19.37,57.29,138.83,557.91,417.52,688.73,650.91,556.86,2,Low Activity,578.505,120.79833180415477,348.37,-419.0799999999999
1,15.94,45.39,65.47,629.26,603.43,796.94,769.98,720.03,0,Moderate Activity,722.595,85.59476950530724,347.365,-563.79
3,24.68,47.23,113.58,599.45,450.99,732.57,676.08,585.97,2,Moderate Activity,611.4024999999999,122.80570599528349,356.51500000000004,-485.87000000000006
3,24.92,46.65,107.37,600.03,447.29,728.44,674.4,590.03,2,High Activity,610.04,122.54078531928326,353.7,-492.65999999999997
3,24.15,48.34,110.55,578.93,437.12,634.3,686.934,602.39,2,Moderate Activity,590.186,107.83375858545719,344.73999999999995,-468.37999999999994
2,20.66,49.34,130.31,572.36,477.0,723.28,664.92,608.93,2,Moderate Activity,618.5324999999999,105.27344627999344,351.33500000000004,-442.05
3,23.74,50.43,118.44,595.73,452.27,723.13,707.3979999999999,592.65,2,Low Activity,618.862,125.3666655960294,357.08500000000004,-477.29
3,23.72,51.44,153.19,556.85,444.94,708.48,657.81,585.88,1,Low Activity,599.2775,114.52917601350904,355.02,-403.66
3,24.36,49.42,112.78,602.39,422.97,723.24,673.8,589.32,2,Low Activity,602.3325,131.74022250246884,357.585,-489.61
0,19.63,54.84,119.29,598.65,483.56,734.71,731.178,617.98,1,High Activity,641.857,118.64228024893431,358.96999999999997,-479.35999999999996
3,24.92,48.03,118.09,578.93,417.79,720.27,677.506,588.61,2,Low Activity,601.044,133.91279425058678,348.51,-460.8399999999999
0,21.0,57.79,120.21,546.37,478.82,713.24,670.89,597.22,1,Low Activity,615.0425,102.69031644545004,333.29,-426.16
3,24.63,48.57,123.46,601.1,407.89,709.44,666.1,576.78,3,Low Activity,590.0525,133.4115600625873,362.28000000000003,-477.64000000000004
3,24.4,49.16,118.66,595.13,402.18,713.89,667.3,579.47,3,Low Activity,590.71,137.48847103181657,356.895,-476.47
3,24.56,48.64,118.26,597.41,413.68,722.31,664.18,581.22,3,Low Activity,595.3475000000001,134.23866342575573,357.835,-479.15
1,19.62,59.32,124.19,551.69,502.49,866.77,686.6,618.65,1,High Activity,668.6275,152.4061246308691,337.94000000000005,-427.50000000000006
3,23.22,51.23,121.84,597.36,415.44,719.36,815.64,579.41,3,Low Activity,632.4625,174.1823807344857,359.6,-475.52
3,23.08,51.94,113.9,596.71,397.63,718.59,658.26,576.56,3,Low Activity,587.76,139.47711377378968,355.305,-482.81000000000006
3,22.73,52.87,125.47,591.52,414.92,714.06,660.22,578.45,3,Low Activity,591.9125,130.50352520781445,358.495,-466.04999999999995
0,17.79,52.62,123.41,596.48,493.58,752.38,712.11,648.72,0,Moderate Activity,651.6975,113.71989751871335,359.945,-473.07000000000005
3,23.1,52.18,110.27,560.57,447.56,654.2,574.738,503.62,3,Low Activity,545.0295,89.47223622070334,335.42,-450.30000000000007
3,22.35,53.17,119.07,593.89,415.87,719.3,665.41,585.05,3,Low Activity,596.4075,132.39674376031056,356.48,-474.82
3,19.68,50.01,123.28,592.99,483.42,706.8,658.89,554.69,1,Moderate Activity,600.95,100.85394489061889,358.135,-469.71000000000004
3,22.21,53.22,123.41,578.93,429.39,720.29,659.25,601.76,3,Low Activity,602.6724999999999,125.2498134063813,351.16999999999996,-455.52
3,21.53,55.29,118.42,593.72,430.25,721.69,665.33,586.12,3,Low Activity,600.8475,126.5981949252569,356.07,-475.3
3,21.76,54.56,108.5,595.12,433.78,720.91,665.042,583.71,3,Low Activity,600.8605,124.82144650526475,351.81,-486.62
3,21.35,55.62,108.0,601.31,420.72,724.33,670.4959999999999,597.16,3,Low Activity,603.1765,132.33374261943422,354.655,-493.30999999999995
3,21.32,55.61,109.89,597.03,442.13,730.23,676.5960000000001,599.02,3,Low Activity,611.994,125.39972524159164,353.46,-487.14
3,22.71,44.01,128.81,578.93,481.34,711.69,679.0,583.12,2,Low Activity,613.7875,103.79532018191702,353.87,-450.11999999999995
1,19.54,55.7,122.78,562.73,475.86,738.54,691.22,634.5,1,Moderate Activity,635.03,114.31973582894598,342.755,-439.95000000000005
2,23.62,46.37,24.45,582.38,445.81,721.8,668.24,613.45,1,High Activity,612.325,119.49863834649608,303.415,-557.93
2,18.03,53.72,112.53,592.73,485.37,756.97,709.68,625.53,1,Moderate Activity,644.3875,119.13591744306164,352.63,-480.20000000000005
1,18.63,53.7,120.52,592.7,453.39,749.14,698.51,636.75,1,Low Activity,634.4475,129.15816308567827,356.61,-472.18000000000006
2,23.49,46.61,116.42,584.05,437.49,714.93,670.318,597.94,1,Low Activity,605.1695,121.7379354775385,350.23499999999996,-467.62999999999994
3,24.08,49.62,102.81,548.71,394.54,723.64,642.56,583.7,2,Low Activity,586.11,140.0071145811288,325.76,-445.90000000000003
0,19.9,49.2,116.29,597.39,443.82,741.67,694.808,614.9,1,Moderate Activity,623.7995,130.9038875956962,356.84,-481.09999999999997
0,20.91,55.97,107.39,578.93,422.89,721.65,673.3,604.38,3,Low Activity,605.555,130.93932042489502,343.15999999999997,-471.53999999999996
0,20.81,55.89,105.45,606.57,439.85,609.71,686.0360000000001,614.16,3,Low Activity,587.439,104.4252373902018,356.01000000000005,-501.12000000000006
0,20.94,55.52,112.72,598.92,426.91,726.21,679.976,601.7,3,Low Activity,608.6990000000001,131.6377255602157,355.82,-486.19999999999993
0,20.74,55.97,103.41,597.49,424.41,717.5,675.13,609.07,3,Low Activity,606.5275,129.35023112336006,350.45,-494.08000000000004
0,20.21,54.76,126.95,543.23,454.47,677.38,625.81,542.72,3,Low Activity,575.095,97.69470081159295,335.09000000000003,-416.28000000000003
0,20.74,55.83,110.88,596.37,445.27,730.0,672.08,603.57,3,Low Activity,612.73,123.01955481412973,353.625,-485.49
1,18.74,53.14,107.21,555.03,475.75,704.15,655.0720000000001,587.94,1,Low Activity,605.7280000000001,98.8810966902505,331.12,-447.82
0,20.75,55.77,107.47,597.26,444.51,729.31,676.4,600.01,3,Low Activity,612.5574999999999,123.9682930900747,352.365,-489.78999999999996
0,20.63,56.16,111.24,598.67,438.41,732.05,684.8620000000001,598.57,3,Low Activity,613.4730000000001,129.13306783830907,354.955,-487.42999999999995
0,20.56,56.31,109.26,597.45,424.27,727.36,682.26,600.98,3,Low Activity,608.7175,133.62296618346215,353.355,-488.19000000000005
0,20.52,56.48,108.75,601.48,433.35,555.14,674.9019999999999,600.02,3,Low Activity,565.853,101.21080585919005,355.115,-492.73
0,20.43,56.6,110.95,600.07,434.74,731.27,674.68,598.28,3,Low Activity,609.7425000000001,128.7673303223039,355.51000000000005,-489.12000000000006
2,17.72,44.0,69.47,567.65,604.32,794.03,750.32,706.95,0,Moderate Activity,713.905,81.24717861768082,318.56,-498.17999999999995
0,20.69,58.24,119.07,546.63,472.5,715.45,675.03,600.97,1,Low Activity,615.9875,106.75984525247934,332.85,-427.56
0,20.45,56.3,113.29,597.42,445.81,727.75,674.67,603.6,3,Low Activity,612.9575,122.4902720967397,355.35499999999996,-484.12999999999994
1,16.02,45.05,73.42,612.24,578.65,778.34,746.92,675.65,0,Moderate Activity,694.89,88.60575338731304,342.83,-538.82
3,24.29,49.72,141.86,561.23,391.3,683.98,633.59,542.15,2,Low Activity,562.755,128.49705690533668,351.545,-419.37
1,17.66,44.92,99.22,603.35,446.52,758.04,817.42,659.96,0,Low Activity,670.485,162.81571289856106,351.285,-504.13
3,24.52,47.96,112.68,570.52,449.11,709.0,672.42,589.24,2,Low Activity,604.9425000000001,115.342262961154,341.6,-457.84
0,20.24,56.69,104.71,600.06,449.52,728.04,680.85,596.94,3,Low Activity,613.8375,122.22745528317277,352.385,-495.34999999999997
3,22.11,43.03,100.01,589.88,503.5,736.08,694.51,610.19,1,Moderate Activity,636.0699999999999,102.73235939404229,344.945,-489.87
0,20.31,55.74,141.1,554.98,397.31,710.94,653.976,579.36,2,Low Activity,585.3965000000001,136.4762360596159,348.04,-413.88
0,20.34,56.4,111.05,594.99,441.9,719.82,667.76,600.44,3,Low Activity,607.48,120.72040976294497,353.02,-483.94
0,20.11,57.0,107.93,578.93,448.65,719.42,669.4,585.52,3,Low Activity,605.7475,118.40869094651231,343.42999999999995,-470.99999999999994
0,20.21,56.79,115.05,595.41,449.07,730.72,673.58,597.19,3,Low Activity,612.64,121.99783795898463,355.22999999999996,-480.35999999999996
2,22.85,51.85,96.83,583.46,428.13,592.82,567.2360000000001,497.15,3,Low Activity,521.3340000000001,74.13746977069022,340.14500000000004,-486.63000000000005
1,19.25,48.86,81.13,616.88,530.37,775.97,734.24,679.0,1,Moderate Activity,679.895,107.30379194915092,349.005,-535.75
0,20.15,56.69,106.97,597.0,445.34,720.04,675.84,590.15,3,Low Activity,607.8425,121.0124319715403,351.985,-490.03
0,20.15,56.69,111.28,600.02,443.18,716.18,668.42,598.85,3,Moderate Activity,606.6574999999999,119.15764694303087,355.65,-488.74
0,20.13,56.69,106.23,578.93,453.11,724.73,686.38,601.83,3,Low Activity,616.5125,120.4276375740497,342.58,-472.69999999999993
0,19.49,53.1,134.64,590.61,431.83,733.79,839.53,606.43,1,High Activity,652.895,175.50437287999407,362.625,-455.97
0,20.08,56.72,109.88,599.96,440.85,725.75,678.03,601.04,3,High Activity,611.4175,124.77995335122277,354.92,-490.08000000000004
0,20.09,56.63,109.26,578.93,441.43,859.64,669.87,603.83,3,Low Activity,643.6925,173.02959484338703,344.09499999999997,-469.66999999999996
0,20.03,56.82,115.1,578.93,449.88,722.01,679.4,605.13,3,High Activity,614.105,119.66247991747454,347.015,-463.8299999999999
0,20.07,56.6,110.94,598.2,453.59,724.37,722.918,609.46,3,Low Activity,627.5845,127.87818782341265,354.57000000000005,-487.26000000000005
0,19.96,56.77,114.77,600.98,451.43,728.43,482.64,601.19,3,High Activity,565.9225,126.09122554061139,357.875,-486.21000000000004
0,19.8,57.01,111.09,592.28,457.26,725.54,678.87,611.41,3,High Activity,618.27,117.1188749376746,351.685,-481.18999999999994
0,19.85,56.94,111.73,591.27,458.71,728.71,678.49,612.35,3,Low Activity,619.565,117.34731057847046,351.5,-479.53999999999996
0,19.86,56.93,110.52,598.55,462.07,729.63,683.91,611.85,3,Moderate Activity,621.865,117.04360939410574,354.53499999999997,-488.03
0,19.89,56.89,107.59,595.03,457.47,729.83,481.66,609.19,3,Moderate Activity,569.5375000000001,125.89358717451287,351.31,-487.43999999999994
0,19.81,56.93,113.98,597.45,451.36,732.56,677.4,604.1,2,High Activity,616.355,121.93390162980376,355.71500000000003,-483.47
0,19.79,57.06,111.75,598.97,469.59,732.06,678.97,611.86,2,High Activity,623.12,113.55673266404479,355.36,-487.22
0,19.77,57.14,111.73,597.96,455.63,730.55,641.402,607.92,2,Low Activity,608.8755,114.52474754829193,354.845,-486.23
0,19.81,57.07,108.49,600.14,454.34,726.67,676.47,607.72,2,Moderate Activity,616.3,118.47168972656154,354.315,-491.65
0,19.21,49.63,124.92,587.63,475.05,742.57,691.05,620.84,1,Moderate Activity,632.3775,116.14632362527307,356.275,-462.71
0,19.77,57.08,119.54,596.35,449.78,727.88,688.12,601.09,2,Low Activity,616.7175,123.24469707996907,357.945,-476.81
3,23.26,50.85,111.51,548.26,469.44,730.67,685.27,628.76,1,Moderate Activity,628.535,113.9615258175612,329.885,-436.75
0,19.72,57.16,114.51,598.15,447.35,724.34,678.36,598.87,2,High Activity,612.23,121.52603699070691,356.33,-483.64
1,18.94,53.37,108.0,550.14,493.25,748.5,704.39,647.97,1,High Activity,648.5274999999999,111.39499162140699,329.07,-442.14
0,19.7,57.24,116.84,598.19,464.01,727.4,691.54,595.31,2,High Activity,619.5649999999999,117.74895739099631,357.51500000000004,-481.35
0,19.68,57.28,112.97,597.2,457.35,725.38,675.43,601.97,2,Moderate Activity,615.0325,116.70308261424229,355.08500000000004,-484.23
0,19.99,52.77,126.94,588.74,416.13,727.57,531.3,598.51,1,Moderate Activity,568.3775,130.1336004202348,357.84000000000003,-461.8
0,18.67,53.63,131.86,586.31,482.61,729.93,707.96,615.71,1,Low Activity,634.0525,112.43678472071909,359.085,-454.44999999999993
0,17.77,52.66,121.58,588.66,490.09,747.65,717.92,660.8,0,High Activity,654.115,115.13580980737488,355.12,-467.08
0,19.64,57.32,113.42,597.49,451.28,731.5,686.69,608.97,2,High Activity,619.61,123.10875544276561,355.455,-484.07
0,19.64,57.27,120.16,596.12,461.84,731.18,676.55,619.84,2,High Activity,622.3525,116.26316280318542,358.14,-475.96000000000004
2,24.04,53.41,115.94,549.9,482.19,691.0,648.31,584.83,1,Low Activity,601.5825,90.76372967766363,332.91999999999996,-433.96
1,19.63,57.03,112.82,595.48,454.81,732.99,686.192,607.26,2,Low Activity,620.313,121.92589660390719,354.15,-482.66
0,21.58,55.29,132.7,560.47,438.96,702.43,650.4440000000001,559.56,2,Low Activity,587.8485,115.49190653750016,346.58500000000004,-427.77000000000004
2,23.36,51.44,111.0,549.15,480.8,707.27,671.53,592.53,1,Low Activity,613.0325,100.34681605146555,330.075,-438.15
1,19.62,56.94,117.05,600.15,461.49,732.97,685.01,605.03,2,Moderate Activity,621.125,118.78970143352777,358.59999999999997,-483.09999999999997
1,19.68,56.64,119.07,593.06,458.31,579.6,694.5,626.76,2,Moderate Activity,589.7925,99.535239111583,356.06499999999994,-473.98999999999995
1,19.66,56.61,115.6,598.97,461.08,731.95,681.892,616.19,2,Moderate Activity,622.778,117.76054167674334,357.285,-483.37
0,20.24,55.38,141.19,575.12,443.12,707.57,660.09,596.43,1,Low Activity,601.8025,115.17117155926364,358.155,-433.93
1,19.42,57.26,108.09,578.93,474.42,739.55,652.962,618.42,2,Moderate Activity,621.338,110.40466138709903,343.51,-470.8399999999999
3,23.2,50.01,102.19,570.89,449.71,707.54,828.8,596.21,2,Low Activity,645.565,161.4631670072156,336.53999999999996,-468.7
1,19.41,57.26,113.86,597.46,472.0,734.4,675.35,619.55,2,Low Activity,625.325,112.46001141146424,355.66,-483.6
2,19.93,45.32,113.42,587.06,496.3,731.34,562.55,620.31,2,Low Activity,602.625,99.65159590627071,350.23999999999995,-473.63999999999993
1,19.54,56.84,119.48,598.52,479.97,641.06,680.37,626.01,2,Moderate Activity,606.8525,87.63780477054407,359.0,-479.03999999999996
2,16.06,45.9,65.49,615.31,545.16,786.47,742.37,698.3,0,Moderate Activity,693.075,104.97423636302388,340.4,-549.8199999999999
1,19.45,56.96,113.52,605.88,460.27,734.93,688.64,612.05,2,High Activity,623.9724999999999,120.32470912077866,359.7,-492.36
0,20.58,44.62,113.72,590.07,443.89,707.9,676.91,596.68,3,Low Activity,606.3449999999999,118.00829984934674,351.89500000000004,-476.35
1,19.38,57.11,111.32,597.05,464.89,732.61,684.71,605.84,2,Low Activity,622.0125,117.06381916857718,354.18499999999995,-485.72999999999996
1,19.45,56.88,118.66,600.57,470.77,737.03,725.6780000000001,616.48,2,High Activity,637.4895,123.72323069793053,359.615,-481.9100000000001
3,23.43,43.49,90.94,604.71,510.08,740.69,703.06,636.32,1,Moderate Activity,647.5375,101.29253489275506,347.82500000000005,-513.77
3,24.11,48.51,120.22,575.78,455.03,717.43,831.45,602.93,2,High Activity,651.71,160.9224417744979,348.0,-455.55999999999995
1,19.44,56.88,112.5,600.14,472.7,744.36,693.594,618.8,2,High Activity,632.3634999999999,118.27762807197877,356.32,-487.64
1,19.49,56.7,114.08,601.57,470.92,746.25,696.68,612.31,2,High Activity,631.54,120.51304355407618,357.82500000000005,-487.49000000000007
1,19.46,56.74,116.77,600.03,470.31,749.88,696.01,625.15,2,Low Activity,635.3375,121.29715230924975,358.4,-483.26
1,19.32,55.68,118.52,598.02,469.52,744.11,703.92,628.86,2,Moderate Activity,636.6025000000001,121.19683229496277,358.27,-479.5
1,19.17,50.12,96.44,599.98,487.76,756.02,713.9,641.65,2,Moderate Activity,649.8325,117.91929199668729,348.21000000000004,-503.54
1,19.11,48.63,88.9,608.42,506.2,772.1,716.38,663.28,2,Moderate Activity,664.49,114.49843143030388,348.65999999999997,-519.52
1,19.01,48.24,93.73,612.08,515.06,765.71,798.79,670.87,2,Low Activity,687.6075,127.16699319529945,352.90500000000003,-518.35
1,18.78,48.13,81.91,612.98,545.95,768.79,836.82,664.89,2,Moderate Activity,704.1125,126.94912429132125,347.445,-531.07
2,15.95,49.55,69.08,609.04,575.27,775.22,750.07,693.03,0,Moderate Activity,698.3975,88.99613301524214,339.06,-539.9599999999999
3,20.71,48.93,117.56,575.45,433.16,721.7,664.27,591.54,2,Low Activity,602.6675,124.92693581316509,346.505,-457.89000000000004
2,18.38,52.94,115.79,593.18,422.94,729.0,889.08,598.44,1,Low Activity,659.865,197.67452263759233,354.48499999999996,-477.38999999999993
1,18.53,48.54,76.1,578.93,551.21,791.76,745.09,688.0,2,Low Activity,694.015,104.23081582078623,327.515,-502.8299999999999
1,18.49,48.8,76.09,621.16,532.78,791.94,803.05,701.76,1,Moderate Activity,707.3824999999999,124.92649422093513,348.625,-545.0699999999999
0,18.51,53.78,132.39,580.73,484.83,745.68,614.8320000000001,616.3,1,High Activity,615.4105,106.49340430749689,356.56,-448.34000000000003
3,22.08,45.84,114.92,580.1,431.79,722.32,679.1940000000001,617.19,2,Low Activity,612.6235,128.04499368971832,347.51,-465.18
1,18.36,49.22,69.31,623.79,558.64,782.84,741.07,713.2,1,Low Activity,698.9375,97.81203824172158,346.54999999999995,-554.48
