Time of Day,Temperature,Humidity,CO2_InfraredSensor,CO2_ElectroChemicalSensor,MetalOxideSensor_Unit1,MetalOxideSensor_Unit2,MetalOxideSensor_Unit3,MetalOxideSensor_Unit4,CO_GasSensor,Session ID,HVAC Operation Mode,Ambient Light Level,Activity Level
afternoon,19.46,51.88,81.85,616.55,538.97,764.22,702.87,625.09,low,7241,maintenance_mode,very_dim,Low Activity
afternoon,19.72,51.03,16.05,615.84,550.17,861.65,713.89,640.84,,7241,ventilation_only,bright,ModerateActivity
evening,23.26,48.79,114.26,572.57,469.29,721.55,670.19,612.11,medium,7395,eco_mode,,Low Activity
afternoon,20.63,49.49,82.28,614.91,525.31,762.74,710.6,624.83,low,7241,heating_active,very_bright,Moderate Activity
afternoon,17.92,44.65,88.62,599.76,531.04,738.88,683.91,604.78,extremely low,3418,maintenance_mode,bright,High Activity
afternoon,20.52,50.58,88.13,614.97,506.68,755.73,689.99,611.74,low,7241,cooling_active,,Moderate Activity
morning,17.95,54.83,103.53,598.46,517.84,757.38,728.83,663.53,low,9658,off,very_bright,Moderate Activity
afternoon,17.35,41.19,55.67,629.42,593.51,799.92,773.49,723.56,extremely low,8374,heating_active,very_bright,Moderate Activity
morning,19.56,56.21,137.55,556.54,431.28,692.18,462.17,572.4,medium,6528,cooling_active,dim,High Activity
afternoon,19.75,50.36,82.03,620.5,430.59,767.14,716.49,651.7,low,7241,off,moderate,High Activity
evening,24.02,48.39,128.69,539.59,386.8,630.43,559.93,477.86,,7058,maintenance_mode,,Low_Activity
afternoon,20.68,48.23,82.12,618.28,428.66,764.53,718.55,637.9,low,7241,cooling_active,very_bright,Moderate Activity
afternoon,293.66,49.3,72.23,,383.95,761.69,718.53,635.7,low,7241,eco_mode,very_bright,Moderate Activity
afternoon,18.15,48.2,87.19,606.33,468.19,749.18,709.37,642.44,extremely low,3418,off,very_bright,ModerateActivity
afternoon,20.14,191.12,78.42,629.87,365.92,769.8,722.7,632.21,medium,7241,maintenance_mode,very_bright,Moderate Activity
afternoon,20.46,48.68,86.69,621.53,365.94,757.07,719.06,642.79,low,7241,cooling_active,bright,High Activity
evening,24.11,49.15,133.51,564.29,407.51,676.11,588.58,541.95,medium,3074,cooling_active,bright,Low Activity
afternoon,20.66,49.07,74.41,620.22,399.02,860.93,,624.88,low,7241,eco_mode,bright,High Activity
afternoon,20.19,50.41,78.1,615.04,381.21,754.65,711.11,629.96,low,7241,cooling_active,,Moderate Activity
afternoon,20.43,50.1,83.18,619.46,386.88,757.15,839.1,631.02,low,7241,cooling_active,dim,High Activity
afternoon,20.62,49.78,80.43,,411.58,756.03,701.61,617.47,low,7241,off,very_bright,High Activity
night,21.08,45.38,109.49,582.88,459.28,721.68,678.77,610.88,medium,2679,eco_mode,very_bright,Moderate Activity
afternoon,20.17,51.22,93.45,605.92,359.63,746.03,,616.68,low,7241,off,,Low Activity
afternoon,20.81,49.83,88.83,616.14,396.34,751.23,,622.31,low,7241,off,dim,Moderate Activity
afternoon,293.59,51.07,92.64,619.54,421.56,749.11,704.69,628.91,low,7241,eco_mode,,Low_Activity
afternoon,20.19,51.5,89.47,620.36,405.07,747.38,698.48,621.0,low,7241,heating_active,dim,Low Activity
afternoon,20.11,51.83,91.14,622.06,400.63,747.91,705.75,627.27,low,7241,off,very_dim,Low Activity
afternoon,19.81,52.63,85.22,620.23,411.9,748.16,699.22,611.0,,7241,maintenance_mode,,High Activity
afternoon,18.02,53.55,109.65,594.26,469.7,613.95,695.5,627.47,low,4129,cooling_active,moderate,Low Activity
morning,18.91,51.67,105.63,596.53,486.45,747.04,712.4,628.5,low,8374,cooling_active,,High Activity
afternoon,22.07,51.19,114.27,571.45,387.86,695.23,627.01,569.68,medium,3074,heating_active,bright,Low Activity
afternoon,19.66,53.02,88.56,618.0,393.85,600.62,691.95,615.95,low,7241,Cooling_Active,bright,Moderate Activity
morning,17.12,51.58,100.58,596.45,511.01,729.41,,643.66,low,7963,Cooling_Active,moderate,High Activity
morning,19.47,53.49,101.71,,459.39,716.73,670.01,596.34,low,6528,off,very_bright,Moderate Activity
morning,19.26,54.59,118.8,573.59,491.29,744.23,,632.57,low,1826,ventilation_only,,Moderate Activity
afternoon,19.25,54.18,85.51,614.89,397.63,742.96,704.25,630.19,low,7241,eco_mode,,High Activity
afternoon,19.15,147.44,81.53,,407.35,752.39,708.46,621.13,low,7241,maintenance_mode,moderate,Moderate Activity
afternoon,19.25,54.29,82.73,617.71,431.59,753.49,704.74,638.31,,7241,heating_active,very_bright,Moderate Activity
afternoon,19.36,54.05,86.92,,416.65,760.61,693.92,623.69,low,7241,maintenance_mode,bright,Low Activity
evening,295.06,45.25,124.91,576.13,483.46,719.69,676.75,595.01,medium,2679,maintenance_mode,very_bright,Low Activity
afternoon,20.21,52.43,92.17,611.77,470.91,745.08,,625.57,low,7241,heating_active,bright,Low Activity
afternoon,20.88,51.1,87.69,613.55,466.68,739.93,691.75,631.09,low,7241,heating_active,dim,Low Activity
afternoon,21.23,50.64,93.09,613.1,469.69,742.03,695.07,620.48,low,7241,Heating_active,bright,Low Activity
afternoon,21.58,50.26,85.43,617.12,470.03,747.22,695.23,603.93,low,7241,heating_active,very_bright,Low Activity
afternoon,21.38,51.35,90.4,610.79,476.8,743.49,693.18,617.66,,7241,eco_mode,very_bright,Moderate Activity
afternoon,21.09,52.71,96.59,610.21,487.57,742.8,699.0,604.73,low,7241,ventilation_only,dim,Moderate Activity
afternoon,21.57,51.77,97.78,613.97,478.0,745.17,,621.28,,7241,ventilation_only,very_bright,Moderate Activity
afternoon,21.75,51.55,95.36,610.41,477.09,746.5,689.88,610.47,low,7241,heating_active,bright,Moderate Activity
afternoon,21.68,52.09,103.22,606.97,463.9,743.05,689.74,616.5,,7241,ventilation_only,bright,Low Activity
evening,20.0,52.64,100.35,581.9,462.31,725.21,690.52,625.46,low,6528,eco_mode,bright,Moderate Activity
night,20.59,53.55,112.06,594.24,455.59,731.75,697.35,592.69,,5693,eco_mode,dim,Low Activity
afternoon,21.93,52.26,100.19,606.86,481.42,731.94,688.96,612.21,low,7241,ventilation_only,,Moderate Activity
evening,22.19,51.8,98.82,606.84,473.88,739.22,681.8,606.06,low,7241,maintenance_mode,,High Activity
evening,22.21,51.93,96.84,,473.49,737.88,684.76,608.71,low,7241,cooling_active,moderate,High Activity
morning,19.08,56.27,140.15,573.86,468.62,725.1,679.71,610.22,low,4507,MAINTENANCE_MODE,,High Activity
evening,22.38,51.84,104.24,609.73,473.94,735.36,676.31,608.42,low,7241,heating_active,bright,Low Activity
morning,19.81,58.73,121.89,550.02,497.95,693.24,600.78,541.39,medium,8936,heating_active,bright,Low Activity
evening,23.51,46.03,119.0,585.47,455.48,714.01,676.52,606.77,low,9658,eco_mode,,Moderate Activity
night,292.55,52.73,123.27,591.79,442.04,742.5,694.2,612.48,,6847,cooling_active,very_bright,Moderate Activity
night,20.59,53.87,110.89,593.05,466.82,727.44,685.06,611.01,low,5693,cooling_active,very_bright,High Activity
evening,23.08,50.95,103.6,605.8,475.06,738.05,682.3,603.76,low,7241,heating_active,,High Activity
evening,23.45,50.25,102.54,605.63,460.07,740.23,683.41,607.01,low,7241,off,,Moderate Activity
evening,23.7,49.71,108.18,612.99,454.82,729.42,690.5,615.6,low,7241,maintenance_mode,very_bright,Moderate Activity
evening,23.43,50.45,111.57,605.57,459.66,732.96,805.06,603.82,low,7241,ventilation_only,,High Activity
night,20.79,47.32,111.79,577.63,444.18,723.05,696.63,611.21,medium,6431,heating_active,,Low Activity
evening,23.83,49.94,107.09,600.83,433.62,742.35,677.25,613.42,,7241,off,moderate,High Activity
evening,24.05,49.5,108.9,602.12,455.49,741.33,690.09,605.16,medium,7241,ventilation_only,very_bright,High Activity
night,20.9,55.48,142.19,565.33,358.23,677.95,650.74,541.6,medium,8649,ventilation_only,bright,Low Activity
evening,24.25,49.11,101.92,598.1,472.43,730.7,,596.88,medium,7241,heating_active,dim,Moderate Activity
night,19.87,52.56,112.71,557.02,481.91,716.87,678.51,589.65,low,2847,cooling_active,,Low Activity
evening,24.19,49.11,103.74,604.31,464.26,733.92,683.17,604.24,,7241,maintenance_mode,,Moderate Activity
evening,21.96,47.16,106.53,596.73,433.78,736.72,,617.67,medium,2105,maintenance_mode,very_bright,Moderate Activity
evening,24.08,49.09,104.18,604.58,467.29,728.33,683.05,595.0,,7241,ventilation_only,dim,Low Activity
evening,24.22,48.49,107.13,601.51,458.84,730.14,,620.35,medium,7241,heating_active,,Moderate Activity
evening,24.5,47.59,103.87,602.01,477.57,728.99,678.9,614.44,low,7241,maintenance_mode,moderate,ModerateActivity
morning,17.9,44.69,64.59,628.18,589.8,790.02,765.73,707.14,extremely low,5693,eco_mode,bright,Moderate Activity
morning,19.74,118.86,128.66,575.45,472.0,740.07,707.13,632.21,low,7395,off,bright,Low Activity
morning,19.37,57.29,138.83,557.91,417.52,688.73,650.91,556.86,medium,6528,eco_mode,bright,Low Activity
morning,15.94,45.39,65.47,629.26,603.43,796.94,,720.03,extremely low,1374,cooling_active,bright,Moderate Activity
evening,24.68,47.23,113.58,599.45,450.99,732.57,676.08,585.97,medium,7241,cooling_active,bright,Moderate Activity
evening,24.92,46.65,107.37,600.03,447.29,728.44,674.4,590.03,medium,7241,cooling_active,bright,High Activity
evening,24.15,48.34,110.55,,437.12,634.3,,602.39,medium,7241,eco_mode,bright,Moderate Activity
evening,23.94,48.99,127.39,589.95,440.89,830.36,,602.37,,7241,maintenance_mode,very_bright,Low Activity
evening,24.76,106.99,120.22,599.24,407.05,719.67,,570.88,,7241,ventilation_only,very_dim,Low Activity
afternoon,20.66,49.34,130.31,572.36,477.0,723.28,664.92,608.93,medium,9184,off,bright,ModerateActivity
evening,23.19,52.08,138.48,,461.06,732.59,682.2,593.96,,7241,Eco_mode,,Low Activity
evening,23.74,50.43,118.44,595.73,452.27,723.13,,592.65,medium,7241,maintenance_mode,very_bright,Low Activity
evening,23.72,51.44,153.19,556.85,444.94,708.48,657.81,585.88,low,9385,MAINTENANCE_MODE,,Low Activity
evening,24.36,49.42,112.78,602.39,422.97,723.24,673.8,589.32,medium,7241,off,very_bright,Low_Activity
night,19.63,54.84,119.29,598.65,483.56,734.71,,617.98,low,5693,MAINTENANCE_MODE,very_bright,High Activity
evening,24.92,48.03,118.09,,417.79,720.27,,588.61,medium,7241,maintenance_mode,bright,Low Activity
night,21.0,57.79,120.21,546.37,478.82,713.24,670.89,597.22,low,5214,heating_active,bright,Low_Activity
evening,297.97,48.1,149.56,564.68,393.13,672.01,635.18,551.3,medium,5172,ventilation_only,very_bright,Low Activity
afternoon,18.35,-4.25,103.09,566.36,480.61,709.68,,565.37,low,7058,maintenance_mode,very_bright,Low Activity
evening,24.63,48.57,123.46,601.1,407.89,709.44,,576.78,high,7241,maintenance_mode,very_bright,Low Activity
evening,24.69,48.54,116.78,595.01,409.36,710.29,657.38,580.15,,7241,ventilation_only,bright,Low Activity
evening,24.4,49.16,118.66,595.13,402.18,713.89,667.3,579.47,high,7241,ventilation_only,,Low Activity
evening,24.56,48.64,118.26,597.41,413.68,722.31,664.18,581.22,high,7241,off,bright,Low Activity
morning,19.62,59.32,124.19,551.69,502.49,866.77,686.6,618.65,low,8936,off,very_bright,High Activity
evening,296.77,-33.97,117.8,601.52,430.19,717.41,658.7,562.14,high,7241,cooling_active,dim,Low Activity
evening,297.15,49.83,121.75,598.02,417.45,708.35,671.6,584.0,high,7241,cooling_active,moderate,Low Activity
evening,23.22,51.23,121.84,597.36,415.44,719.36,815.64,579.41,high,7241,maintenance_mode,bright,Low Activity
evening,23.08,51.94,113.9,596.71,397.63,718.59,658.26,576.56,high,7241,off,bright,Low Activity
evening,22.73,52.87,125.47,591.52,414.92,714.06,660.22,578.45,high,7241,heating_active,very_bright,Low Activity
night,17.79,52.62,123.41,596.48,493.58,752.38,712.11,648.72,extremely low,5820,cooling_active,,Moderate Activity
evening,23.1,52.18,110.27,560.57,447.56,654.2,,503.62,high,1903,maintenance_mode,bright,Low Activity
afternoon,18.21,46.18,67.79,606.77,570.41,777.61,744.39,692.22,,1826,heating_active,bright,Low Activity
evening,22.35,53.17,119.07,593.89,415.87,719.3,665.41,585.05,high,7241,eco_mode,bright,Low Activity
evening,297.52,52.12,119.99,535.76,462.55,694.18,,569.25,medium,8936,off,,Low Activity
evening,19.68,50.01,123.28,592.99,483.42,706.8,658.89,554.69,low,6847,off,very_bright,Moderate Activity
evening,22.21,53.22,123.41,,429.39,720.29,659.25,601.76,high,7241,eco_mode,very_dim,Low Activity
evening,21.53,55.29,118.42,593.72,430.25,721.69,665.33,586.12,high,7241,off,,Low_Activity
night,22.92,52.79,115.64,550.87,471.87,697.03,636.66,571.41,,6817,off,bright,Low Activity
evening,294.93,54.45,118.66,594.33,436.87,726.24,668.06,596.04,high,7241,ventilation_only,moderate,Low Activity
evening,21.76,54.56,108.5,595.12,433.78,720.91,,583.71,high,7241,cooling_active,moderate,Low Activity
evening,21.35,55.62,108.0,601.31,420.72,724.33,,597.16,high,7241,eco_mode,very_bright,LowActivity
evening,21.32,55.61,109.89,597.03,442.13,730.23,,599.02,high,7241,heating_active,very_bright,Low Activity
evening,22.71,44.01,128.81,,481.34,711.69,679.0,583.12,medium,2679,eco_mode,moderate,Low Activity
morning,19.54,55.7,122.78,562.73,475.86,738.54,691.22,634.5,low,2847,cooling_active,bright,Moderate Activity
evening,21.16,55.76,107.38,602.47,436.83,718.43,668.45,601.09,,7241,heating_active,,Low Activity
afternoon,23.62,46.37,24.45,582.38,445.81,721.8,668.24,613.45,low,4507,HEATING_ACTIVE,very_dim,High Activity
afternoon,18.03,53.72,112.53,592.73,485.37,756.97,709.68,625.53,low,4129,off,bright,ModerateActivity
morning,18.63,53.7,120.52,592.7,453.39,749.14,698.51,636.75,low,6847,COOLING_ACTIVE,very_dim,Low Activity
afternoon,23.49,46.61,116.42,584.05,437.49,714.93,,597.94,low,4507,heating_active,very_bright,Low Activity
evening,24.08,49.62,102.81,548.71,394.54,723.64,642.56,583.7,medium,4703,ventilation_only,,Low Activity
night,19.9,49.2,116.29,597.39,443.82,741.67,,614.9,low,2105,heating_active,bright,Moderate Activity
night,20.91,55.97,107.39,,422.89,721.65,673.3,604.38,high,7241,heating_active,very_bright,Low Activity
night,20.81,55.89,105.45,606.57,439.85,609.71,,614.16,high,7241,VENTILATION_ONLY,,Low Activity
night,294.04,55.69,112.69,606.54,437.11,735.21,688.53,599.96,high,7241,off,very_bright,Low Activity
night,20.94,55.52,112.72,598.92,426.91,726.21,,601.7,high,7241,Ventilation_Only,dim,Low Activity
night,20.74,55.97,103.41,597.49,424.41,717.5,675.13,609.07,high,7241,HEATING_ACTIVE,bright,Low Activity
night,20.21,54.76,126.95,543.23,454.47,677.38,625.81,542.72,high,7058,ventilation_only,,Low Activity
night,20.74,55.83,110.88,596.37,445.27,730.0,672.08,603.57,high,7241,maintenance_mode,very_bright,Low Activity
morning,18.74,53.14,107.21,555.03,475.75,704.15,,587.94,low,2847,eco_mode,dim,Low Activity
night,20.75,55.77,107.47,597.26,444.51,729.31,676.4,600.01,high,7241,ventilation_only,bright,Low Activity
morning,19.28,56.86,140.89,563.58,428.78,728.53,688.36,604.14,,8649,eco_mode,,Low Activity
night,20.63,56.16,111.24,598.67,438.41,732.05,,598.57,high,7241,Eco_Mode,,Low_Activity
night,20.56,56.31,109.26,597.45,424.27,727.36,682.26,600.98,high,7241,ventilation_only,very_bright,Low Activity
night,20.52,56.48,108.75,601.48,433.35,555.14,,600.02,high,7241,off,bright,Low Activity
night,20.43,56.6,110.95,600.07,434.74,731.27,674.68,598.28,high,7241,heating_active,moderate,LowActivity
afternoon,17.72,44.0,69.47,567.65,604.32,794.03,750.32,706.95,extremely low,9241,heating_active,moderate,Moderate Activity
night,20.69,58.24,119.07,546.63,472.5,715.45,675.03,600.97,low,8936,off,bright,Low Activity
night,20.45,56.3,113.29,597.42,445.81,727.75,674.67,603.6,high,7241,off,very_bright,Low Activity
morning,16.02,45.05,73.42,612.24,578.65,778.34,746.92,675.65,extremely low,5820,maintenance_mode,very_bright,Moderate Activity
night,291.59,52.25,113.92,590.5,491.91,759.61,709.31,653.56,low,1374,maintenance_mode,,Low Activity
evening,24.29,49.72,141.86,561.23,391.3,683.98,633.59,542.15,medium,5172,heating_active,very_bright,Low Activity
morning,17.66,44.92,99.22,603.35,446.52,758.04,817.42,659.96,extremely low,3418,heating_active,very_dim,Low_Activity
evening,24.52,47.96,112.68,570.52,449.11,709.0,672.42,589.24,medium,7395,cooling_active,bright,Low Activity
night,20.24,56.69,104.71,600.06,449.52,728.04,680.85,596.94,high,7241,cooling_active,bright,Low Activity
evening,22.11,43.03,100.01,589.88,503.5,736.08,694.51,610.19,low,8052,cooling_active,very_bright,Moderate Activity
night,20.31,55.74,141.1,554.98,397.31,710.94,,579.36,medium,8649,cooling_active,bright,Low Activity
night,20.34,56.4,111.05,594.99,441.9,719.82,667.76,600.44,high,7241,maintenance_mode,dim,Low Activity
afternoon,17.29,49.05,77.49,603.56,575.84,775.54,747.28,674.31,,1374,cooling_active,very_dim,Low Activity
night,20.11,57.0,107.93,,448.65,719.42,669.4,585.52,high,7241,Heating_Active,,Low Activity
night,20.21,56.79,115.05,595.41,449.07,730.72,673.58,597.19,high,7241,VENTILATION_ONLY,very_bright,Low Activity
afternoon,22.85,51.85,96.83,583.46,428.13,592.82,,497.15,high,1903,off,,Low Activity
evening,297.49,47.49,113.14,579.44,460.41,717.98,666.92,617.85,low,4507,ventilation_only,,Low Activity
morning,19.25,48.86,81.13,616.88,530.37,775.97,734.24,679.0,low,3856,off,very_bright,Moderate Activity
night,20.15,56.69,106.97,597.0,445.34,720.04,675.84,590.15,high,7241,eco_mode,dim,Low Activity
night,20.15,56.69,111.28,600.02,443.18,716.18,668.42,598.85,high,7241,off,very_bright,Moderate Activity
night,20.13,56.69,106.23,,453.11,724.73,686.38,601.83,high,7241,maintenance_mode,,Low Activity
night,19.49,53.1,134.64,590.61,431.83,733.79,839.53,606.43,low,6847,off,very_bright,High Activity
night,20.08,56.72,109.88,599.96,440.85,725.75,678.03,601.04,high,7241,heating_active,bright,High Activity
morning,292.15,57.3,139.39,560.29,410.35,724.48,681.13,597.36,low,8649,eco_mode,,High Activity
night,20.09,56.63,109.26,,441.43,859.64,669.87,603.83,high,7241,Off,bright,Low Activity
night,20.03,56.82,115.1,,449.88,722.01,679.4,605.13,high,7241,cooling_active,very_dim,High Activity
night,20.07,56.6,110.94,598.2,453.59,724.37,,609.46,high,7241,maintenance_mode,very_bright,Low Activity
night,20.15,56.39,110.61,599.12,452.81,721.9,680.72,606.49,,7241,eco_mode,very_bright,Low Activity
night,19.96,56.77,114.77,600.98,451.43,728.43,482.64,601.19,high,7241,cooling_active,dim,High Activity
night,19.84,56.94,116.32,599.17,427.45,726.25,,595.03,,7241,off,dim,High Activity
night,19.81,57.03,111.5,,448.23,731.72,679.48,623.79,,7241,ECO_MODE,,LowActivity
night,19.8,57.01,111.09,592.28,457.26,725.54,678.87,611.41,high,7241,ventilation_only,bright,High Activity
evening,23.11,51.82,128.28,,415.04,680.98,606.88,532.36,,3074,cooling_active,,High Activity
night,19.85,56.94,111.73,591.27,458.71,728.71,678.49,612.35,high,7241,heating_active,moderate,Low Activity
night,19.86,56.93,110.52,598.55,462.07,729.63,683.91,611.85,high,7241,off,moderate,Moderate Activity
night,19.89,56.89,107.59,595.03,457.47,729.83,481.66,609.19,high,7241,maintenance_mode,moderate,Moderate Activity
morning,19.78,-45.01,80.86,616.13,484.67,758.79,710.3,651.09,,3856,Ventilation_only,,Low Activity
night,19.81,56.93,113.98,597.45,451.36,732.56,677.4,604.1,medium,7241,cooling_active,moderate,High Activity
night,19.79,57.06,111.75,598.97,469.59,732.06,678.97,611.86,medium,7241,off,very_bright,High Activity
night,19.77,57.14,111.73,597.96,455.63,730.55,,607.92,medium,7241,off,,Low Activity
night,19.81,57.07,108.49,600.14,454.34,726.67,676.47,607.72,medium,7241,ventilation_only,bright,Moderate Activity
night,19.86,56.82,116.84,598.8,460.03,733.65,680.72,613.27,,7241,heating_active,bright,Low Activity
night,19.21,49.63,124.92,587.63,475.05,742.57,691.05,620.84,low,6431,ventilation_only,very_dim,Moderate Activity
night,19.77,57.08,119.54,596.35,449.78,727.88,688.12,601.09,medium,7241,eco_mode,very_bright,Low_Activity
evening,23.26,50.85,111.51,548.26,469.44,730.67,685.27,628.76,low,9241,heating_active,very_bright,Moderate Activity
night,19.72,57.16,114.51,598.15,447.35,724.34,678.36,598.87,medium,7241,off,bright,High Activity
morning,18.94,53.37,108.0,550.14,493.25,748.5,704.39,647.97,low,9241,heating_active,bright,High Activity
night,19.7,57.24,116.84,598.19,464.01,727.4,691.54,595.31,medium,7241,ventilation_only,,High Activity
night,19.68,57.28,112.97,597.2,457.35,725.38,675.43,601.97,medium,7241,eco_mode,bright,Moderate Activity
night,292.82,57.34,118.39,600.66,473.84,729.09,686.76,606.8,medium,7241,eco_mode,,Low Activity
night,19.99,52.77,126.94,588.74,416.13,727.57,531.3,598.51,low,6847,off,bright,Moderate Activity
night,18.67,53.63,131.86,586.31,482.61,729.93,707.96,615.71,low,7963,ECO_MODE,very_bright,Low Activity
night,17.77,52.66,121.58,588.66,490.09,747.65,717.92,660.8,extremely low,5820,ventilation_only,moderate,High Activity
night,19.64,57.32,113.42,597.49,451.28,731.5,686.69,608.97,medium,7241,cooling_active,very_bright,High Activity
night,19.64,57.27,120.16,596.12,461.84,731.18,676.55,619.84,medium,7241,ventilation_only,very_bright,High Activity
afternoon,18.71,118.0,8.35,583.97,512.75,700.5,625.51,583.6,low,1903,ventilation_only,very_bright,Low Activity
afternoon,24.04,53.41,115.94,549.9,482.19,691.0,648.31,584.83,low,8936,heating_active,bright,Low Activity
evening,24.7,47.06,116.72,580.29,459.08,722.23,683.56,609.67,,4507,off,very_bright,Low Activity
morning,19.63,57.03,112.82,595.48,454.81,732.99,,607.26,medium,7241,heating_active,moderate,LowActivity
night,21.58,55.29,132.7,560.47,438.96,702.43,,559.56,medium,1903,maintenance_mode,very_dim,Low Activity
afternoon,23.36,51.44,111.0,549.15,480.8,707.27,671.53,592.53,low,7058,eco_mode,very_bright,LowActivity
morning,19.62,56.94,117.05,600.15,461.49,732.97,685.01,605.03,medium,7241,heating_active,very_bright,Moderate Activity
morning,19.68,56.64,119.07,593.06,458.31,579.6,694.5,626.76,medium,7241,ventilation_only,,Moderate Activity
morning,19.66,56.61,115.6,598.97,461.08,731.95,,616.19,medium,7241,eco_mode,dim,Moderate Activity
evening,22.07,45.61,117.54,591.65,434.25,738.12,690.65,628.37,,5820,Eco_Mode,moderate,Low Activity
night,20.24,55.38,141.19,575.12,443.12,707.57,660.09,596.43,low,4507,heating_active,moderate,Low Activity
morning,19.42,57.26,108.09,,474.42,739.55,,618.42,medium,7241,Cooling_Active,very_bright,Moderate Activity
evening,23.2,50.01,102.19,570.89,449.71,707.54,828.8,596.21,medium,6528,off,very_bright,Low Activity
morning,19.41,57.26,113.86,597.46,472.0,734.4,675.35,619.55,medium,7241,cooling_active,bright,Low Activity
afternoon,19.93,45.32,113.42,587.06,496.3,731.34,562.55,620.31,medium,2679,eco_mode,very_bright,Low Activity
morning,19.54,56.84,119.48,598.52,479.97,641.06,680.37,626.01,medium,7241,eco_mode,moderate,Moderate Activity
afternoon,16.06,45.9,65.49,615.31,545.16,786.47,742.37,698.3,extremely low,5820,eco_mode,dim,Moderate Activity
morning,19.45,56.96,113.52,605.88,460.27,734.93,688.64,612.05,medium,7241,heating_active,,High Activity
night,20.58,44.62,113.72,590.07,443.89,707.9,676.91,596.68,high,8052,cooling_active,,Low Activity
morning,19.38,57.11,111.32,597.05,464.89,732.61,684.71,605.84,medium,7241,eco_mode,bright,Low Activity
morning,19.45,56.88,118.66,600.57,470.77,737.03,,616.48,medium,7241,heating_active,very_bright,High Activity
evening,23.43,43.49,90.94,604.71,510.08,740.69,703.06,636.32,low,5693,eco_mode,bright,Moderate Activity
evening,24.11,48.51,120.22,575.78,455.03,717.43,831.45,602.93,medium,7395,eco_mode,moderate,High Activity
morning,19.44,56.88,112.5,600.14,472.7,744.36,,618.8,medium,7241,off,very_bright,High Activity
evening,21.96,44.62,111.52,587.63,422.65,748.82,711.92,645.08,,5820,maintenance_mode,very_dim,Moderate Activity
morning,19.49,56.7,114.08,601.57,470.92,746.25,696.68,612.31,medium,7241,maintenance_mode,moderate,High Activity
morning,19.46,56.74,116.77,600.03,470.31,749.88,696.01,625.15,medium,7241,maintenance_mode,,Low Activity
