Time of Day,Temperature,Humidity,CO2_InfraredSensor,CO2_ElectroChemicalSensor,MetalOxideSensor_Unit1,MetalOxideSensor_Unit2,MetalOxideSensor_Unit3,MetalOxideSensor_Unit4,CO_GasSensor,Activity Level
3,23.51,46.03,119.0,585.47,455.48,714.01,676.52,606.77,1,Moderate Activity
0,20.59,53.87,110.89,593.05,466.82,727.44,685.06,611.01,1,High Activity
3,23.08,50.95,103.6,605.8,475.06,738.05,682.3,603.76,1,High Activity
3,23.45,50.25,102.54,605.63,460.07,740.23,683.41,607.01,1,Moderate Activity
3,23.7,49.71,108.18,612.99,454.82,729.42,690.5,615.6,1,Moderate Activity
3,23.43,50.45,111.57,605.57,459.66,732.96,805.06,603.82,1,High Activity
0,20.79,47.32,111.79,577.63,444.18,723.05,696.63,611.21,2,Low Activity
3,24.05,49.5,108.9,602.12,455.49,741.33,690.09,605.16,2,High Activity
0,20.9,55.48,142.19,565.33,358.23,677.95,650.74,541.6,2,Low Activity
3,24.25,49.11,101.92,598.1,472.43,730.7,676.354,596.88,2,Moderate Activity
0,19.87,52.56,112.71,557.02,481.91,716.87,678.51,589.65,1,Low Activity
3,21.96,47.16,106.53,596.73,433.78,736.72,660.0060000000001,617.67,2,Moderate Activity
3,24.22,48.49,107.13,601.51,458.84,730.14,687.18,620.35,2,Moderate Activity
3,24.5,47.59,103.87,602.01,477.57,728.99,678.9,614.44,1,Moderate Activity
1,17.9,44.69,64.59,628.18,589.8,790.02,765.73,707.14,0,Moderate Activity
1,19.37,57.29,138.83,557.91,417.52,688.73,650.91,556.86,2,Low Activity
1,15.94,45.39,65.47,629.26,603.43,796.94,769.98,720.03,0,Moderate Activity
3,24.68,47.23,113.58,599.45,450.99,732.57,676.08,585.97,2,Moderate Activity
3,24.92,46.65,107.37,600.03,447.29,728.44,674.4,590.03,2,High Activity
3,24.15,48.34,110.55,578.93,437.12,634.3,686.934,602.39,2,Moderate Activity
2,20.66,49.34,130.31,572.36,477.0,723.28,664.92,608.93,2,Moderate Activity
3,23.74,50.43,118.44,595.73,452.27,723.13,707.3979999999999,592.65,2,Low Activity
3,23.72,51.44,153.19,556.85,444.94,708.48,657.81,585.88,1,Low Activity
3,24.36,49.42,112.78,602.39,422.97,723.24,673.8,589.32,2,Low Activity
0,19.63,54.84,119.29,598.65,483.56,734.71,731.178,617.98,1,High Activity
3,24.92,48.03,118.09,578.93,417.79,720.27,677.506,588.61,2,Low Activity
0,21.0,57.79,120.21,546.37,478.82,713.24,670.89,597.22,1,Low Activity
3,24.63,48.57,123.46,601.1,407.89,709.44,666.1,576.78,3,Low Activity
3,24.4,49.16,118.66,595.13,402.18,713.89,667.3,579.47,3,Low Activity
3,24.56,48.64,118.26,597.41,413.68,722.31,664.18,581.22,3,Low Activity
1,19.62,59.32,124.19,551.69,502.49,866.77,686.6,618.65,1,High Activity
3,23.22,51.23,121.84,597.36,415.44,719.36,815.64,579.41,3,Low Activity
3,23.08,51.94,113.9,596.71,397.63,718.59,658.26,576.56,3,Low Activity
3,22.73,52.87,125.47,591.52,414.92,714.06,660.22,578.45,3,Low Activity
0,17.79,52.62,123.41,596.48,493.58,752.38,712.11,648.72,0,Moderate Activity
3,23.1,52.18,110.27,560.57,447.56,654.2,574.738,503.62,3,Low Activity
3,22.35,53.17,119.07,593.89,415.87,719.3,665.41,585.05,3,Low Activity
3,19.68,50.01,123.28,592.99,483.42,706.8,658.89,554.69,1,Moderate Activity
3,22.21,53.22,123.41,578.93,429.39,720.29,659.25,601.76,3,Low Activity
3,21.53,55.29,118.42,593.72,430.25,721.69,665.33,586.12,3,Low Activity
3,21.76,54.56,108.5,595.12,433.78,720.91,665.042,583.71,3,Low Activity
3,21.35,55.62,108.0,601.31,420.72,724.33,670.4959999999999,597.16,3,Low Activity
3,21.32,55.61,109.89,597.03,442.13,730.23,676.5960000000001,599.02,3,Low Activity
3,22.71,44.01,128.81,578.93,481.34,711.69,679.0,583.12,2,Low Activity
1,19.54,55.7,122.78,562.73,475.86,738.54,691.22,634.5,1,Moderate Activity
2,23.62,46.37,24.45,582.38,445.81,721.8,668.24,613.45,1,High Activity
2,18.03,53.72,112.53,592.73,485.37,756.97,709.68,625.53,1,Moderate Activity
1,18.63,53.7,120.52,592.7,453.39,749.14,698.51,636.75,1,Low Activity
2,23.49,46.61,116.42,584.05,437.49,714.93,670.318,597.94,1,Low Activity
3,24.08,49.62,102.81,548.71,394.54,723.64,642.56,583.7,2,Low Activity
0,19.9,49.2,116.29,597.39,443.82,741.67,694.808,614.9,1,Moderate Activity
0,20.91,55.97,107.39,578.93,422.89,721.65,673.3,604.38,3,Low Activity
0,20.81,55.89,105.45,606.57,439.85,609.71,686.0360000000001,614.16,3,Low Activity
0,20.94,55.52,112.72,598.92,426.91,726.21,679.976,601.7,3,Low Activity
0,20.74,55.97,103.41,597.49,424.41,717.5,675.13,609.07,3,Low Activity
0,20.21,54.76,126.95,543.23,454.47,677.38,625.81,542.72,3,Low Activity
0,20.74,55.83,110.88,596.37,445.27,730.0,672.08,603.57,3,Low Activity
1,18.74,53.14,107.21,555.03,475.75,704.15,655.0720000000001,587.94,1,Low Activity
0,20.75,55.77,107.47,597.26,444.51,729.31,676.4,600.01,3,Low Activity
0,20.63,56.16,111.24,598.67,438.41,732.05,684.8620000000001,598.57,3,Low Activity
0,20.56,56.31,109.26,597.45,424.27,727.36,682.26,600.98,3,Low Activity
0,20.52,56.48,108.75,601.48,433.35,555.14,674.9019999999999,600.02,3,Low Activity
0,20.43,56.6,110.95,600.07,434.74,731.27,674.68,598.28,3,Low Activity
2,17.72,44.0,69.47,567.65,604.32,794.03,750.32,706.95,0,Moderate Activity
0,20.69,58.24,119.07,546.63,472.5,715.45,675.03,600.97,1,Low Activity
0,20.45,56.3,113.29,597.42,445.81,727.75,674.67,603.6,3,Low Activity
1,16.02,45.05,73.42,612.24,578.65,778.34,746.92,675.65,0,Moderate Activity
3,24.29,49.72,141.86,561.23,391.3,683.98,633.59,542.15,2,Low Activity
1,17.66,44.92,99.22,603.35,446.52,758.04,817.42,659.96,0,Low Activity
3,24.52,47.96,112.68,570.52,449.11,709.0,672.42,589.24,2,Low Activity
0,20.24,56.69,104.71,600.06,449.52,728.04,680.85,596.94,3,Low Activity
3,22.11,43.03,100.01,589.88,503.5,736.08,694.51,610.19,1,Moderate Activity
0,20.31,55.74,141.1,554.98,397.31,710.94,653.976,579.36,2,Low Activity
0,20.34,56.4,111.05,594.99,441.9,719.82,667.76,600.44,3,Low Activity
0,20.11,57.0,107.93,578.93,448.65,719.42,669.4,585.52,3,Low Activity
0,20.21,56.79,115.05,595.41,449.07,730.72,673.58,597.19,3,Low Activity
2,22.85,51.85,96.83,583.46,428.13,592.82,567.2360000000001,497.15,3,Low Activity
1,19.25,48.86,81.13,616.88,530.37,775.97,734.24,679.0,1,Moderate Activity
0,20.15,56.69,106.97,597.0,445.34,720.04,675.84,590.15,3,Low Activity
0,20.15,56.69,111.28,600.02,443.18,716.18,668.42,598.85,3,Moderate Activity
0,20.13,56.69,106.23,578.93,453.11,724.73,686.38,601.83,3,Low Activity
0,19.49,53.1,134.64,590.61,431.83,733.79,839.53,606.43,1,High Activity
0,20.08,56.72,109.88,599.96,440.85,725.75,678.03,601.04,3,High Activity
0,20.09,56.63,109.26,578.93,441.43,859.64,669.87,603.83,3,Low Activity
0,20.03,56.82,115.1,578.93,449.88,722.01,679.4,605.13,3,High Activity
0,20.07,56.6,110.94,598.2,453.59,724.37,722.918,609.46,3,Low Activity
0,19.96,56.77,114.77,600.98,451.43,728.43,482.64,601.19,3,High Activity
0,19.8,57.01,111.09,592.28,457.26,725.54,678.87,611.41,3,High Activity
0,19.85,56.94,111.73,591.27,458.71,728.71,678.49,612.35,3,Low Activity
0,19.86,56.93,110.52,598.55,462.07,729.63,683.91,611.85,3,Moderate Activity
0,19.89,56.89,107.59,595.03,457.47,729.83,481.66,609.19,3,Moderate Activity
0,19.81,56.93,113.98,597.45,451.36,732.56,677.4,604.1,2,High Activity
0,19.79,57.06,111.75,598.97,469.59,732.06,678.97,611.86,2,High Activity
0,19.77,57.14,111.73,597.96,455.63,730.55,641.402,607.92,2,Low Activity
0,19.81,57.07,108.49,600.14,454.34,726.67,676.47,607.72,2,Moderate Activity
0,19.21,49.63,124.92,587.63,475.05,742.57,691.05,620.84,1,Moderate Activity
0,19.77,57.08,119.54,596.35,449.78,727.88,688.12,601.09,2,Low Activity
3,23.26,50.85,111.51,548.26,469.44,730.67,685.27,628.76,1,Moderate Activity
0,19.72,57.16,114.51,598.15,447.35,724.34,678.36,598.87,2,High Activity
1,18.94,53.37,108.0,550.14,493.25,748.5,704.39,647.97,1,High Activity
0,19.7,57.24,116.84,598.19,464.01,727.4,691.54,595.31,2,High Activity
0,19.68,57.28,112.97,597.2,457.35,725.38,675.43,601.97,2,Moderate Activity
0,19.99,52.77,126.94,588.74,416.13,727.57,531.3,598.51,1,Moderate Activity
0,18.67,53.63,131.86,586.31,482.61,729.93,707.96,615.71,1,Low Activity
0,17.77,52.66,121.58,588.66,490.09,747.65,717.92,660.8,0,High Activity
0,19.64,57.32,113.42,597.49,451.28,731.5,686.69,608.97,2,High Activity
0,19.64,57.27,120.16,596.12,461.84,731.18,676.55,619.84,2,High Activity
2,24.04,53.41,115.94,549.9,482.19,691.0,648.31,584.83,1,Low Activity
1,19.63,57.03,112.82,595.48,454.81,732.99,686.192,607.26,2,Low Activity
0,21.58,55.29,132.7,560.47,438.96,702.43,650.4440000000001,559.56,2,Low Activity
2,23.36,51.44,111.0,549.15,480.8,707.27,671.53,592.53,1,Low Activity
1,19.62,56.94,117.05,600.15,461.49,732.97,685.01,605.03,2,Moderate Activity
1,19.68,56.64,119.07,593.06,458.31,579.6,694.5,626.76,2,Moderate Activity
1,19.66,56.61,115.6,598.97,461.08,731.95,681.892,616.19,2,Moderate Activity
0,20.24,55.38,141.19,575.12,443.12,707.57,660.09,596.43,1,Low Activity
1,19.42,57.26,108.09,578.93,474.42,739.55,652.962,618.42,2,Moderate Activity
3,23.2,50.01,102.19,570.89,449.71,707.54,828.8,596.21,2,Low Activity
1,19.41,57.26,113.86,597.46,472.0,734.4,675.35,619.55,2,Low Activity
2,19.93,45.32,113.42,587.06,496.3,731.34,562.55,620.31,2,Low Activity
1,19.54,56.84,119.48,598.52,479.97,641.06,680.37,626.01,2,Moderate Activity
2,16.06,45.9,65.49,615.31,545.16,786.47,742.37,698.3,0,Moderate Activity
1,19.45,56.96,113.52,605.88,460.27,734.93,688.64,612.05,2,High Activity
0,20.58,44.62,113.72,590.07,443.89,707.9,676.91,596.68,3,Low Activity
1,19.38,57.11,111.32,597.05,464.89,732.61,684.71,605.84,2,Low Activity
1,19.45,56.88,118.66,600.57,470.77,737.03,725.6780000000001,616.48,2,High Activity
3,23.43,43.49,90.94,604.71,510.08,740.69,703.06,636.32,1,Moderate Activity
3,24.11,48.51,120.22,575.78,455.03,717.43,831.45,602.93,2,High Activity
1,19.44,56.88,112.5,600.14,472.7,744.36,693.594,618.8,2,High Activity
1,19.49,56.7,114.08,601.57,470.92,746.25,696.68,612.31,2,High Activity
1,19.46,56.74,116.77,600.03,470.31,749.88,696.01,625.15,2,Low Activity
1,19.32,55.68,118.52,598.02,469.52,744.11,703.92,628.86,2,Moderate Activity
1,19.17,50.12,96.44,599.98,487.76,756.02,713.9,641.65,2,Moderate Activity
1,19.11,48.63,88.9,608.42,506.2,772.1,716.38,663.28,2,Moderate Activity
1,19.01,48.24,93.73,612.08,515.06,765.71,798.79,670.87,2,Low Activity
1,18.78,48.13,81.91,612.98,545.95,768.79,836.82,664.89,2,Moderate Activity
2,15.95,49.55,69.08,609.04,575.27,775.22,750.07,693.03,0,Moderate Activity
3,20.71,48.93,117.56,575.45,433.16,721.7,664.27,591.54,2,Low Activity
2,18.38,52.94,115.79,593.18,422.94,729.0,889.08,598.44,1,Low Activity
1,18.53,48.54,76.1,578.93,551.21,791.76,745.09,688.0,2,Low Activity
1,18.49,48.8,76.09,621.16,532.78,791.94,803.05,701.76,1,Moderate Activity
0,18.51,53.78,132.39,580.73,484.83,745.68,614.8320000000001,616.3,1,High Activity
3,22.08,45.84,114.92,580.1,431.79,722.32,679.1940000000001,617.19,2,Low Activity
1,18.36,49.22,69.31,623.79,558.64,782.84,741.07,713.2,1,Low Activity
1,18.34,49.21,78.87,620.96,557.1,789.97,745.84,704.99,1,Low Activity
0,21.82,57.31,138.45,540.7,454.11,703.35,700.058,592.06,1,Low Activity
1,18.29,49.39,73.9,623.01,565.84,789.85,752.1,702.22,1,Moderate Activity
3,24.4,42.96,108.95,600.54,410.55,724.54,698.22,613.2,2,Moderate Activity
1,18.44,48.34,65.89,578.93,565.59,798.93,759.01,707.82,1,Low Activity
1,17.99,48.15,65.07,630.12,567.76,786.59,765.74,713.09,1,Low Activity
1,17.82,48.49,69.85,628.95,553.44,782.77,760.69,706.86,1,Moderate Activity
1,19.13,47.24,72.17,628.71,538.54,781.16,747.56,687.71,1,Low Activity
1,19.35,47.73,75.02,628.89,522.41,780.14,735.96,678.61,1,Moderate Activity
0,20.94,57.07,128.2,556.32,437.28,706.83,661.616,577.47,1,Low Activity
1,19.42,57.26,108.09,602.04,474.42,555.97,683.65,618.42,2,Moderate Activity
1,19.35,48.79,81.79,614.65,521.93,770.48,727.81,671.02,1,Moderate Activity
3,22.07,45.61,117.54,578.93,434.25,586.28,699.6600000000001,628.37,1,Low Activity
1,19.7,49.55,88.69,622.96,502.44,762.67,725.88,662.15,1,Low Activity
1,19.86,49.25,94.77,618.19,521.46,765.21,721.9000000000001,662.13,1,Low Activity
1,20.09,49.68,94.68,608.26,511.4,759.89,714.8,647.42,1,Moderate Activity
2,21.17,47.01,109.16,581.63,439.33,712.35,669.7,608.18,2,Low Activity
1,20.3,49.85,94.97,609.2,508.95,762.68,851.0,643.11,1,High Activity
0,18.86,53.29,122.97,590.41,446.28,746.14,710.54,637.39,1,High Activity
3,20.51,51.16,131.41,578.93,444.36,717.31,698.4959999999999,589.6,1,Low Activity
1,20.02,51.34,91.05,608.88,497.1,578.4,894.18,638.47,1,Moderate Activity
1,19.48,52.51,92.7,607.77,506.1,757.47,706.37,639.82,1,Moderate Activity
1,19.72,52.2,89.8,611.03,496.43,753.54,705.0319999999999,638.41,1,Moderate Activity
2,19.4,53.3,87.41,610.31,476.34,754.98,702.08,627.44,2,Low Activity
2,22.55,51.99,100.66,573.54,462.94,703.92,653.0,584.99,1,Low Activity
3,23.49,51.15,129.18,551.31,448.2,715.2,659.62,593.43,1,Low Activity
2,19.22,53.29,93.02,614.86,520.05,754.45,718.18,646.64,2,Low Activity
2,24.38,47.91,109.29,541.86,394.99,720.95,644.01,562.79,2,Low Activity
2,18.72,53.71,75.56,617.11,540.78,758.01,718.646,657.45,1,Moderate Activity
2,19.0,53.36,90.75,612.82,495.46,754.91,709.58,635.68,1,Low Activity
2,18.84,54.27,99.16,605.57,449.74,754.81,697.37,636.18,2,Moderate Activity
0,18.82,53.44,125.07,592.89,459.55,741.37,724.154,631.38,1,High Activity
3,23.61,51.38,144.24,552.97,430.02,706.27,670.41,595.98,1,Low Activity
1,19.71,59.1,131.35,548.87,474.18,703.01,637.25,563.55,2,Low Activity
2,18.74,52.62,72.93,627.33,548.85,775.71,730.48,687.48,1,Low Activity
2,18.85,52.01,60.78,617.75,551.5,775.67,738.79,686.92,1,Moderate Activity
2,18.73,52.16,71.25,578.93,566.69,778.77,737.8,686.57,1,Moderate Activity
2,19.3,46.45,82.89,600.85,527.69,751.78,718.06,664.31,0,Low Activity
0,21.2,53.64,123.9,536.07,457.26,652.31,581.75,522.06,4,Low Activity
1,15.97,45.33,70.1,617.23,607.72,796.09,766.38,718.23,0,Low Activity
2,20.4,50.52,78.37,622.48,508.81,768.41,723.138,668.37,1,Moderate Activity
2,20.29,51.09,76.92,611.08,516.27,767.14,734.29,667.16,1,Moderate Activity
2,20.27,51.43,89.24,610.86,513.38,760.86,717.98,663.97,1,Low Activity
0,21.94,50.96,112.45,552.42,473.13,739.37,694.82,627.41,1,Low Activity
3,22.64,45.84,120.17,590.9,465.97,731.08,676.96,610.58,1,Moderate Activity
3,23.89,51.08,167.23,547.1,423.19,704.99,658.87,590.13,1,Low Activity
2,20.2,52.27,83.08,609.96,502.07,749.25,707.95,657.03,1,Moderate Activity
2,20.16,52.5,94.42,609.26,508.61,752.72,707.09,646.25,1,Low Activity
2,20.7,50.96,107.78,581.21,483.34,730.48,684.74,618.41,1,Moderate Activity
2,20.22,52.72,91.37,616.76,510.63,751.1,710.7239999999999,649.9,1,Low Activity
2,20.46,51.99,89.68,606.33,508.99,755.02,707.19,645.19,1,Moderate Activity
2,20.18,52.69,91.12,608.24,493.27,747.13,710.61,625.61,1,High Activity
2,20.45,52.49,94.8,599.87,505.87,749.05,704.05,640.6,1,Moderate Activity
1,17.22,50.65,118.82,581.46,498.28,740.94,701.41,639.87,1,Moderate Activity
2,19.67,54.4,90.01,578.93,501.66,749.43,893.82,631.0,1,Low Activity
2,17.95,52.7,24.2,594.05,474.63,741.42,700.18,644.12,1,Low Activity
2,20.03,53.67,99.66,608.14,494.96,740.67,711.17,637.67,1,High Activity
2,18.56,45.71,103.77,595.87,487.79,742.43,703.6380000000001,646.99,2,Moderate Activity
3,22.08,52.68,103.74,543.93,464.07,713.47,640.08,570.5,1,Low Activity
1,18.35,45.29,76.58,614.13,524.75,780.85,761.668,675.32,0,Low Activity
1,19.8,55.51,119.95,564.0,468.08,731.3,684.51,617.6,1,Moderate Activity
2,19.65,49.71,71.5,619.67,554.61,769.6,732.86,690.02,1,Moderate Activity
2,19.17,50.63,70.89,623.01,546.24,762.16,727.15,667.63,1,Moderate Activity
2,20.88,54.43,127.84,578.93,435.12,690.11,624.59,555.69,2,Low Activity
2,18.89,52.21,71.56,622.08,533.79,763.69,718.19,657.92,1,Low Activity
0,22.0,52.91,123.15,558.31,436.15,688.54,639.05,571.52,3,Moderate Activity
2,18.94,53.18,76.64,578.93,519.56,764.21,715.18,648.01,1,Moderate Activity
0,19.65,50.93,118.7,589.06,447.66,743.05,708.65,634.82,1,Moderate Activity
2,19.08,53.35,83.83,617.4,505.18,760.87,714.09,633.91,1,Moderate Activity
1,20.16,49.06,77.29,597.04,535.37,750.25,711.48,647.79,0,High Activity
2,21.05,49.44,83.17,614.26,506.75,750.55,711.44,640.21,1,Moderate Activity
3,25.64,48.38,117.78,547.71,476.03,680.65,596.7860000000001,542.2,2,Moderate Activity
2,18.27,53.64,79.42,595.93,532.98,755.4,719.29,658.78,1,Moderate Activity
2,22.42,48.63,91.04,607.64,501.43,742.49,689.68,628.16,1,Low Activity
0,18.88,48.56,124.97,586.26,466.83,733.12,679.73,604.35,1,Low Activity
3,24.48,49.23,110.89,594.61,450.68,701.58,544.93,579.03,1,Low Activity
3,23.29,47.79,94.26,608.44,499.29,744.34,679.75,604.42,1,Moderate Activity
0,21.76,52.41,121.68,540.21,412.03,654.66,586.28,511.77,4,Low Activity
0,21.26,57.47,117.54,543.29,459.45,713.63,668.83,612.59,1,Low Activity
3,23.5,47.73,95.68,606.93,481.94,735.82,701.76,610.95,1,Moderate Activity
3,23.9,47.23,93.56,604.31,495.16,741.53,684.88,611.61,1,Low Activity
3,24.18,46.74,98.04,599.03,496.54,737.15,471.41,620.26,1,Moderate Activity
3,24.29,46.8,96.76,597.72,493.84,730.16,674.202,609.14,1,Low Activity
3,24.51,46.34,98.43,600.81,494.75,727.62,681.41,606.44,1,High Activity
3,24.37,46.79,99.35,602.35,486.6,739.85,681.07,615.31,1,Moderate Activity
3,24.35,46.98,104.63,603.55,492.71,728.47,683.862,615.41,1,Moderate Activity
3,24.32,47.06,106.66,601.4,488.45,729.77,686.4859999999999,613.26,1,Low Activity
3,24.1,47.78,96.86,601.93,494.49,729.55,681.39,588.35,1,Moderate Activity
3,24.08,47.79,101.13,599.76,491.75,735.43,682.69,615.15,1,Moderate Activity
0,19.4,50.43,107.55,592.92,441.72,897.82,687.36,632.05,1,Low Activity
0,21.84,52.16,99.47,578.93,466.32,588.43,646.15,579.8,1,Low Activity
1,19.06,53.15,99.79,552.94,499.97,747.29,708.27,644.87,1,High Activity
1,18.86,48.97,78.51,598.45,502.93,745.04,719.15,639.75,1,Moderate Activity
2,18.54,52.91,104.59,561.24,479.09,706.33,635.0319999999999,560.25,1,Low Activity
3,25.32,46.53,113.1,572.38,444.39,718.92,668.9,610.02,1,Low Activity
3,24.97,46.87,100.4,599.06,376.88,821.12,641.598,598.53,2,Low Activity
3,24.88,47.2,111.29,599.68,367.76,719.19,657.16,597.42,2,Low Activity
1,17.17,52.73,84.26,607.21,532.18,762.25,711.91,647.67,1,Moderate Activity
2,22.29,46.73,82.12,560.7,481.19,616.19,701.46,652.74,0,Moderate Activity
3,25.62,45.34,111.03,595.57,399.37,714.31,678.42,583.48,2,Low Activity
3,25.46,45.47,103.13,596.99,389.3,713.95,668.06,592.48,2,Low Activity
3,25.35,45.6,105.32,597.74,393.78,718.18,802.68,587.47,2,Low Activity
3,25.58,45.13,108.54,601.2,411.04,682.74,596.11,523.25,2,High Activity
1,20.42,57.43,132.04,559.17,462.43,716.01,665.01,590.52,1,Low Activity
0,20.49,57.04,117.56,548.78,460.61,632.31,680.29,603.74,1,Low Activity
2,18.41,48.78,98.49,599.33,478.52,746.98,671.1199999999999,641.93,0,Low Activity
1,17.27,53.08,130.63,576.99,481.75,723.48,673.41,608.6,2,Moderate Activity
2,18.46,53.49,79.11,589.62,475.06,741.39,709.57,623.08,0,Low Activity
3,22.3,51.86,124.94,537.84,405.63,631.26,570.25,496.37,4,Low Activity
3,22.36,46.67,126.92,586.63,436.76,722.57,679.038,623.04,2,Low Activity
3,23.63,49.03,110.48,603.04,411.59,679.37,599.63,518.54,2,High Activity
3,23.47,49.29,105.25,598.24,407.63,688.54,637.9680000000001,533.43,1,Low Activity
0,23.02,49.53,113.72,573.71,419.47,720.91,673.69,611.1,2,Low Activity
3,22.28,51.73,104.25,601.65,421.71,679.94,608.39,525.19,2,Low Activity
3,22.32,51.82,103.04,596.52,405.97,693.79,661.238,528.74,2,Low Activity
1,16.94,50.98,115.48,585.08,492.01,740.17,701.98,645.38,1,High Activity
3,21.62,53.47,99.87,601.47,418.28,691.29,614.74,536.93,2,Low Activity
0,20.47,54.84,120.57,550.75,445.41,709.9,674.98,600.52,2,High Activity
1,17.86,41.17,56.04,630.96,593.22,798.8,764.98,715.12,0,Moderate Activity
